domainSize,maxSideLength,order,numberOfCells,numberOfPoints,gradientFree,divideCriterion,divideParameter1,divideParameter2,divideParameter3,divideParameter4,gaussianAlpha,gaugeShift,finalGItolerance,GreenSingSubtracted,orbitalEnergies,BandEnergy,KineticEnergy,ExchangeEnergy,CorrelationEnergy,HartreeEnergy,TotalEnergy,Treecode,treecodeOrder,theta,maxParNode,batchSize,totalTime,timePerConvolution,totalIterationCount
24,48.0,3,4266.666666666667,115200,True,coarsenedUniform,0.375,6.0,1.5,0.0,0.5,-0.5,1e-07,1,[-3.8724002  -0.20746137],-8.159723121966385,0.0,-1.5994210831328712,-0.20573370982697836,5.48288176526456,-13.081724418596108,True,8,0.7,4000,4000,236.71745705604553,0.6815779789999965,309
24,48.0,4,3515.625,225000,True,coarsenedUniform,0.375,6.0,1.5,0.0,0.5,-0.5,1e-07,1,[-3.87229924 -0.20749255],-8.15958357130834,0.0,-1.599381550391036,-0.20573438194237742,5.482955345996135,-13.081672112741893,True,8,0.7,4000,4000,162.56832885742188,1.5843561890000046,95
24,48.0,5,3110.4,388800,True,coarsenedUniform,0.375,6.0,1.5,0.0,0.5,-0.5,1e-07,1,[-3.87218452 -0.20747385],-8.159316744403384,0.0,-1.599346693176668,-0.2057333581996696,5.482896269522476,-13.081357825774269,True,8,0.7,4000,4000,320.4268367290497,3.2230578479999963,94
24,48.0,6,2858.3333333333335,617400,True,coarsenedUniform,0.375,6.0,1.5,0.0,0.5,-0.5,1e-07,1,[-3.87213866 -0.20746571],-8.159208738577595,0.0,-1.5993313584170896,-0.20573300071037104,5.482866912866614,-13.081225430057568,True,8,0.7,4000,4000,610.8511574268341,6.32274664900001,94
24,48.0,7,2686.8804664723034,921600,True,coarsenedUniform,0.375,6.0,1.5,0.0,0.5,-0.5,1e-07,1,[-3.87211601 -0.20746166],-8.159155331836384,0.0,-1.5993239471062823,-0.20573281350446737,5.482853676444956,-13.081161162571258,True,8,0.7,4000,4000,912.1480202674866,9.342504227999939,94
16,32.0,3,3204.740740740741,86528,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87380253 -0.20721338],-8.162031837174895,0.0,-1.5996815431179172,-0.20573828676905648,5.483076537529971,-13.084139985865486,True,8,0.7,4000,4000,57.674394369125366,0.4629680149999942,95
16,32.0,4,2640.625,169000,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87255467 -0.20745171],-8.160012757080658,0.0,-1.5996591573885213,-0.20574965767119635,5.483925097476986,-13.082977290421853,True,8,0.7,4000,4000,107.28420567512512,1.0506495569999998,87
16,32.0,3,12231.111111111111,330240,True,coarsenedUniform,0.25,4.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.8725308  -0.20739884],-8.15985927448566,0.0,-1.599134194545646,-0.20571436890278266,5.481828079742728,-13.080904263658358,True,8,0.7,4000,4000,295.2145895957947,2.930781371999956,92
16,32.0,5,2336.256,292032,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87233029 -0.20744973],-8.159560052176094,0.0,-1.5994623947267186,-0.20573967258702222,5.4832722559132065,-13.081938266627624,True,8,0.7,4000,4000,210.59158277511597,2.1871064800000113,86
16,32.0,6,2146.925925925926,463736,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87221936 -0.20745282],-8.159344359871541,0.0,-1.5993890361491487,-0.20573624033720772,5.483053933795638,-13.081528523239676,True,8,0.7,4000,4000,435.4444408416748,4.381490531999987,93
16,32.0,4,10078.125,645000,True,coarsenedUniform,0.25,4.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87216203 -0.2074856 ],-8.159295266061353,0.0,-1.5993062890109562,-0.20573057906888206,5.482749223721443,-13.081202872297508,True,8,0.7,4000,4000,656.0006923675537,6.936512925999978,90
16,32.0,7,2018.145772594752,692224,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87216453 -0.20745413],-8.159237323689474,0.0,-1.5993567971206983,-0.2057347034453999,5.482958509668732,-13.081337371409226,True,8,0.7,4000,4000,658.0713670253754,6.659166414999959,91
16,32.0,8,1925.015625,985608,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87213445 -0.20745491],-8.159178723120856,0.0,-1.5993404522669263,-0.20573397971123925,5.482911142480992,-13.081236455461054,True,8,0.7,4000,4000,1027.616511106491,10.987044415000014,89
24.0,48.0,8,2562.890625,1312200,True,coarsenedUniform,0.375,6.0,1.5,0.0,0.5,-0.5,1e-07,1,[-3.87210407 -0.20745951],-8.159127175653717,0.0,-1.5993200513321706,-0.20573280498241975,5.482846658142385,-13.081127390250442,True,8,0.7,4000,4000,1451.7941303253174,15.187495533999936,94
16,32.0,5,8916.48,1114560,True,coarsenedUniform,0.25,4.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87212141 -0.20747036],-8.15918353831353,0.0,-1.5993100058340106,-0.2057316787143455,5.4827937497122505,-13.081134288378012,True,8,0.7,4000,4000,1304.3055758476257,13.787755664000088,90
16,32.0,9,1854.5953360768176,1352000,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87211703 -0.20745533],-8.159144731173487,0.0,-1.5993311469252425,-0.20573341379427518,5.482884778023576,-13.081179442715882,True,8,0.7,4000,4000,1495.235279083252,16.138341179999998,90
24.0,48.0,9,2469.135802469136,1800000,True,coarsenedUniform,0.375,6.0,1.5,0.0,0.5,-0.5,1e-07,1,[-3.87209732 -0.20745828],-8.159111204132927,0.0,-1.5993177912751726,-0.20573269789914128,5.482842432046505,-13.081107938044621,True,8,0.7,4000,4000,2095.7952370643616,22.12814295299995,94
16,32.0,6,8193.888888888889,1769880,True,coarsenedUniform,0.25,4.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87210411 -0.207464  ],-8.159136208353813,0.0,-1.5993117430001662,-0.20573209987064917,5.482813043210356,-13.081105662785102,True,8,0.7,4000,4000,2379.1871066093445,25.720880283000042,90
16,32.0,7,7702.390670553936,2641920,True,coarsenedUniform,0.25,4.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87209604 -0.20746078],-8.159113641177989,0.0,-1.5993124258963143,-0.2057322873057742,5.482821750129397,-13.081091563454242,True,8,0.7,4000,4000,3603.595708847046,39.02796071700004,90
