domainSize,maxSideLength,order,numberOfCells,numberOfPoints,gradientFree,divideCriterion,divideParameter1,divideParameter2,divideParameter3,divideParameter4,gaussianAlpha,gaugeShift,finalGItolerance,GreenSingSubtracted,orbitalEnergies,BandEnergy,KineticEnergy,ExchangeEnergy,CorrelationEnergy,HartreeEnergy,TotalEnergy,Treecode,treecodeOrder,theta,maxParNode,batchSize,totalTime,timePerConvolution,totalIterationCount
16,32.0,6,2235.8518518518517,482944,True,coarsenedUniform,0.25,8.0,1.0,0.0,0.5,-0.5,1e-07,1,[-3.8721106  -0.20747618],-8.159173546258112,0.0,-1.5993090882552723,-0.20573198831812817,5.482798149837391,-13.08112900292648,True,8,0.7,4000,4000,495.42506217956543,5.075088213000015,93
16,32.0,6,3925.4444444444443,847896,True,coarsenedUniform,0.25,8.0,1.5,0.0,0.5,-0.5,1e-07,1,[-3.87210719 -0.20746841],-8.159151208811847,0.0,-1.599309885117752,-0.20573182624400232,5.482800909053313,-13.081109185073958,True,8,0.7,4000,4000,1015.0541582107544,10.544503760999987,93
16,32.0,4,2750.0,176000,True,coarsenedUniform,0.25,8.0,1.0,0.0,0.5,-0.5,1e-07,1,[-3.8721788  -0.20751625],-8.159390102834655,0.0,-1.59930209417191,-0.2057304639804589,5.482722259987566,-13.08127219510614,True,8,0.7,4000,4000,131.92969155311584,1.2612605809999877,89
16,32.0,4,4828.125,309000,True,coarsenedUniform,0.25,8.0,1.5,0.0,0.5,-0.5,1e-07,1,[-3.87219365 -0.20747773],-8.159342757832318,0.0,-1.599285176807304,-0.20572831935646463,5.482634926777983,-13.081143353041405,True,8,0.7,4000,4000,260.3251690864563,2.6806588350000027,89
16,32.0,4,9312.5,596000,True,coarsenedUniform,0.25,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87219268 -0.20746857],-8.1593224981106,0.0,-1.5992876699625218,-0.20572822918525935,5.482654979008178,-13.081142336892167,True,8,0.7,4000,4000,554.7057569026947,5.819561657999998,89
16,32.0,6,7571.407407407408,1635424,True,coarsenedUniform,0.25,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87210846 -0.20746569],-8.159148309154546,0.0,-1.5993089638762354,-0.20573167679025406,5.482798358226283,-13.081104056608364,True,8,0.7,4000,4000,2190.261392593384,23.075872139000012,93
16,32.0,4,14234.375,911000,True,coarsenedUniform,0.25,8.0,2.5,0.0,0.5,-0.5,1e-07,1,[-3.87217585 -0.2074546 ],-8.159260903406066,0.0,-1.5992981883328194,-0.20572965559792278,5.482710571064755,-13.08113268209509,True,8,0.7,4000,4000,928.8599691390991,9.959760456000026,88
16,32.0,4,24296.875,1555000,True,coarsenedUniform,0.25,8.0,3.0,0.0,0.5,-0.5,1e-07,1,[-3.87215679 -0.20744176],-8.159197102088163,0.0,-1.5993090293058767,-0.20573054280989916,5.48276947194797,-13.081124121649404,True,8,0.7,4000,4000,1735.7440357208252,19.032137877999958,88
16,32.0,6,11573.074074074075,2499784,True,coarsenedUniform,0.25,8.0,2.5,0.0,0.5,-0.5,1e-07,1,[-3.87210371 -0.20746227],-8.15913196568693,0.0,-1.5993119301035896,-0.2057320821166458,5.482813972605484,-13.081102296705863,True,8,0.7,4000,4000,3411.758759021759,36.236434477999865,93
